,title,subtitle,link
0,ARMBAND OF BROTHERS,England team rally round devastated skipper Kane after penalty miss,https://www.thesun.co.uk/sport/20717463/harry-kane-consoled-england-france-world-cup-crying/
1,OUT OF GAZ?,Gareth Southgate breaks silence on his future as England boss after France loss,https://www.thesun.co.uk/sport/20718051/gareth-southgate-england-2022-world-cup-france/
2,HARRY'S ANGUISH,Kane breaks silence over missed penalty as England crash out of World Cup,https://www.thesun.co.uk/sport/20719079/harry-kane-responsibility-england-world-cup-france-penalty/
3,SPOT ON,Watch heartwarming moment Bellingham sprinted to console Kane after penalty miss,https://www.thesun.co.uk/sport/20719016/watch-bellingham-console-kane-england-world-cup-penalty-miss/
4,JUST REF OFF,Neville slams referee for performance in England's World Cup loss to France,https://www.thesun.co.uk/sport/20717755/referee-gary-neville-england-world-cup-france/
5,PICK & MIX,Pickford ushers camera operator away from Kane after England's World Cup exit,https://www.thesun.co.uk/sport/20717700/harry-kane-england-penalty-jordan-pickford-cameraman-angry-reaction/
6,'ITV CURSE',Fans say the same thing as England go out of World Cup in France loss on ITV,https://www.thesun.co.uk/sport/20717702/fans-say-itv-curse-england-france-world-cup-bbc/
7,'READ THE ROOM',Arsenal tweet after England's loss to France sparks furious fan backlash,https://www.thesun.co.uk/sport/20718011/arsenal-twitter-england-france-william-saliba/
8,OUI WOZ ROBBED,England fans fuming after Kane denied penalty vs France despite VAR review,https://www.thesun.co.uk/sport/20716405/england-harry-kane-penalty-var-france-world-cup/
9,MAC IS BACK,Fans react to 'Steve McClaren' supporter going wild during England vs France,https://www.thesun.co.uk/sport/20717384/steve-mcclaren-england-world-cup-france/
10,LIONS RAGING,England vs France World Cup referee's Wikipedia page changed as fans rage,https://www.thesun.co.uk/sport/20716748/england-vs-france-world-cup-saka-england/
11,TRUE LION,Harry Kane still an England great despite World Cup penalty miss against France,https://www.thesun.co.uk/sport/20717811/harry-kane-england-2022-world-cup-france/
12,ENGLAND RATINGS,Saka shines but Shaw exposed as World Cup dream ends in heartache vs France,https://www.thesun.co.uk/sport/20717133/england-ratings-france-world-cup-kane-shaw-saka/
13,WHERE IT WENT RON,Ronaldo's shocking stats revealed from Portugal's loss to Morocco,https://www.thesun.co.uk/sport/20716470/cristiano-ronaldo-stats-portugal-world-cup/
14,'SHOULD BE MORE GENEROUS',Roy Keane teases Jordan Henderson for making him pay for brekkie,https://www.thesun.co.uk/sport/20716859/roy-keane-jordan-henderson-breakfast-england-liverpool-sunderland/
15,ALARM BELL,Fans say same thing at Bellingham's reaction to Hernandez NOT being sent off,https://www.thesun.co.uk/sport/20717267/jude-bellingham-theo-hernandez-sent-off/
16,REFFIN' HELL,Maguire slams ref for World Cup KO & 'incredible amount of wrong decisions',https://www.thesun.co.uk/sport/20718150/england-harry-maguire-world-cup-referee/
17,'NASTY',England fans left seething at Mbappe’s reaction to Kane’s penalty miss vs France,https://www.thesun.co.uk/sport/20717525/england-penalty-mbappe-kane-world-cup-france/
